epoch, iteration, loss, time
 0, 0, 4.490, 0.488
 0, 1, 4.530, 0.737
 0,  500, 4.318, 131.830
 0, 1000, 3.770, 263.297
 0, 1500, 3.797, 394.681
 0, 2000, 3.824, 526.060
 0, 2500, 3.830, 657.433
 0, 3000, 3.732, 788.909
 0, 3500, 3.685, 920.354
 0, 4000, 3.646, 1051.842
 0, 4500, 3.654, 1183.338
 0, 5000, 3.625, 1314.834
 0, 5500, 3.611, 1446.163
 0, 6000, 3.664, 1577.244
 0, 6500, 3.715, 1708.403
 1,    0, 3.049, 0.345
 1,    1, 3.065, 0.593
 1,  500, 3.187, 132.206
 1, 1000, 3.212, 263.377
 1, 1500, 3.227, 394.547
 1, 2000, 3.218, 525.712
 1, 2500, 3.224, 656.874
 1, 3000, 3.298, 788.108
 1, 3500, 3.275, 919.263
 1, 4000, 3.277, 1050.406
 1, 4500, 3.255, 1181.619
 1, 5000, 3.272, 1312.850
 1, 5500, 3.282, 1444.072
 1, 6000, 3.314, 1575.340
 1, 6500, 3.355, 1706.622
 2,    0, 2.612, 0.338
 2,    1, 1.898, 0.591
 2,  500, 2.776, 132.411
 2, 1000, 2.801, 263.673
 2, 1500, 2.789, 395.046
 2, 2000, 2.855, 526.386
 2, 2500, 2.849, 657.667
 2, 3000, 2.846, 789.012
 2, 3500, 2.871, 920.345
 2, 4000, 2.916, 1051.700
 2, 4500, 2.928, 1183.034
 2, 5000, 2.933, 1314.373
 2, 5500, 2.949, 1445.705
 2, 6000, 2.973, 1577.043
 2, 6500, 2.976, 1708.361
 3,    0, 1.680, 0.323
 3,    1, 2.080, 0.573
 3,  500, 2.422, 132.396
 3, 1000, 2.431, 263.689
 3, 1500, 2.479, 394.979
 3, 2000, 2.461, 526.253
 3, 2500, 2.501, 657.623
 3, 3000, 2.531, 789.040
 3, 3500, 2.571, 920.437
 3, 4000, 2.584, 1051.841
 3, 4500, 2.582, 1183.298
 3, 5000, 2.575, 1314.747
 3, 5500, 2.543, 1446.244
 3, 6000, 2.691, 1577.735
 3, 6500, 2.760, 1709.176
 4,    0, 1.572, 0.326
 4,    1, 1.474, 0.575
 4,  500, 2.113, 132.487
 4, 1000, 2.223, 263.894
 4, 1500, 2.250, 395.403
 4, 2000, 2.186, 526.899
 4, 2500, 2.217, 658.437
 4, 3000, 2.155, 789.919
 4, 3500, 2.285, 921.428
 4, 4000, 2.279, 1052.876
 4, 4500, 2.246, 1184.385
 4, 5000, 2.361, 1315.877
 4, 5500, 2.302, 1447.352
 4, 6000, 2.274, 1578.780
 4, 6500, 2.271, 1710.242
 5,    0, 0.440, 0.325
 5,    1, 2.812, 0.576
 5,  500, 1.828, 132.582
 5, 1000, 1.807, 263.996
 5, 1500, 1.827, 395.425
 5, 2000, 1.911, 526.888
 5, 2500, 1.836, 658.348
 5, 3000, 1.835, 789.822
 5, 3500, 1.899, 921.260
 5, 4000, 1.956, 1052.721
 5, 4500, 1.904, 1184.274
 5, 5000, 1.905, 1315.721
 5, 5500, 1.946, 1447.272
 5, 6000, 1.965, 1578.768
 5, 6500, 2.001, 1710.224
 6,    0, 1.160, 0.334
 6,    1, 2.267, 0.585
 6,  500, 1.463, 132.473
 6, 1000, 1.539, 263.884
 6, 1500, 1.564, 395.278
 6, 2000, 1.601, 526.720
 6, 2500, 1.571, 658.192
 6, 3000, 1.583, 789.655
 6, 3500, 1.630, 921.116
 6, 4000, 1.687, 1052.692
 6, 4500, 1.640, 1184.197
 6, 5000, 1.678, 1315.763
 6, 5500, 1.717, 1447.278
 6, 6000, 1.704, 1578.772
 6, 6500, 1.732, 1710.300
 7,    0, 0.465, 0.327
 7,    1, 0.333, 0.575
 7,  500, 1.350, 132.589
 7, 1000, 1.566, 264.117
 7, 1500, 1.855, 395.563
 7, 2000, 2.227, 527.062
 7, 2500, 2.197, 658.618
 7, 3000, 2.199, 790.093
 7, 3500, 2.169, 921.591
 7, 4000, 2.198, 1053.047
 7, 4500, 2.249, 1184.545
 7, 5000, 2.183, 1316.014
 7, 5500, 2.188, 1447.484
 7, 6000, 2.212, 1579.006
 7, 6500, 2.202, 1710.519
 8,    0, 2.421, 0.329
 8,    1, 1.407, 0.581
 8,  500, 1.640, 132.653
 8, 1000, 1.678, 264.095
 8, 1500, 1.738, 395.520
 8, 2000, 1.736, 526.923
 8, 2500, 1.791, 658.425
 8, 3000, 1.793, 789.871
 8, 3500, 1.798, 921.340
 8, 4000, 1.806, 1052.785
 8, 4500, 1.815, 1184.220
 8, 5000, 1.812, 1315.653
 8, 5500, 1.788, 1447.089
 8, 6000, 1.860, 1578.598
 8, 6500, 1.858, 1710.023
 9,    0, 1.648, 0.330
 9,    1, 2.896, 0.581
 9,  500, 1.474, 132.683
 9, 1000, 1.440, 264.155
 9, 1500, 1.409, 395.614
 9, 2000, 1.517, 527.095
 9, 2500, 1.458, 658.555
 9, 3000, 1.501, 789.988
 9, 3500, 1.547, 921.455
 9, 4000, 1.503, 1052.853
 9, 4500, 1.555, 1184.262
 9, 5000, 1.545, 1315.686
 9, 5500, 1.635, 1447.442
 9, 6000, 1.616, 1578.836
 9, 6500, 1.598, 1710.211
